offense,offense_conference,defense,defense_conference,game_id,id,scoring,start_period,start_yardline,start_yards_to_goal,start_time.minutes,start_time.seconds,end_period,end_yardline,end_yards_to_goal,end_time.minutes,end_time.seconds,elapsed.minutes,elapsed.seconds,plays,yards,drive_result
Northwestern,Big Ten,Stanford,Pac-12,400756891,4007568918,true,2,20,80,10,0,2,100,0,6,18,3,42,10,80,TD
Stanford,Pac-12,Northwestern,Big Ten,400756891,4007568919,false,2,68,68,6,18,2,62,62,5,35,,43,2,10,FUMBLE
Nevada,Mountain West,Arizona,Pac-12,400756892,4007568921,false,1,25,75,15,0,1,29,71,13,35,1,25,3,4,PUNT
Arizona,Pac-12,Nevada,Mountain West,400756892,4007568922,true,1,16,16,13,35,1,0,0,13,1,,34,2,16,TD
Nevada,Mountain West,Arizona,Pac-12,400756892,4007568923,false,1,25,75,13,1,1,27,73,11,35,1,26,3,2,PUNT
Arizona,Pac-12,Nevada,Mountain West,400756892,4007568924,true,1,77,77,11,35,1,0,0,9,33,2,2,7,77,TD
Nevada,Mountain West,Arizona,Pac-12,400756892,4007568925,true,1,25,75,9,33,1,89,11,5,8,4,25,11,64,FG
Arizona,Pac-12,Nevada,Mountain West,400756892,4007568926,false,1,75,75,5,8,1,33,33,3,18,1,50,7,42,DOWNS
Nevada,Mountain West,Arizona,Pac-12,400756892,4007568927,false,1,33,67,3,18,1,39,61,0,33,2,45,4,6,PUNT
Arizona,Pac-12,Nevada,Mountain West,400756892,4007568928,false,1,84,84,0,33,2,64,64,14,42,,51,3,20,PUNT
Nevada,Mountain West,Arizona,Pac-12,400756892,4007568929,true,2,19,81,14,42,2,100,0,9,14,5,28,14,81,TD
Arizona State,Pac-12,Cal Poly,,400756893,4007568931,false,1,20,80,13,6,1,43,57,13,6,,,4,23,PUNT
Cal Poly,,Arizona State,Pac-12,400756893,4007568932,false,1,67,67,13,6,1,63,63,11,15,1,51,3,4,PUNT
Arizona State,Pac-12,Cal Poly,,400756893,4007568933,true,1,23,77,11,15,1,100,0,8,14,3,1,9,77,TD
Cal Poly,,Arizona State,Pac-12,400756893,4007568934,false,1,75,75,8,14,1,67,67,6,10,2,4,3,8,PUNT
Arizona State,Pac-12,Cal Poly,,400756893,4007568935,false,1,20,80,6,10,1,53,47,4,16,1,54,5,33,PUNT
Cal Poly,,Arizona State,Pac-12,400756893,4007568936,false,1,91,91,4,16,1,73,73,0,3,4,13,10,18,PUNT
Arizona State,Pac-12,Cal Poly,,400756893,4007568937,true,1,30,70,0,3,2,100,0,13,4,1,52,7,70,TD
Cal Poly,,Arizona State,Pac-12,400756893,4007568938,true,2,35,35,13,4,2,0,0,10,22,2,42,8,64,TD
Arizona State,Pac-12,Cal Poly,,400756893,4007568939,true,2,57,43,10,22,2,100,0,7,6,3,16,11,43,TD
Tulane,American Athletic,Duke,ACC,400756894,4007568941,false,1,25,75,15,0,1,32,68,13,5,1,55,3,7,PUNT
Duke,ACC,Tulane,American Athletic,400756894,4007568942,false,1,62,62,13,5,1,39,39,11,50,1,15,4,23,FUMBLE
Tulane,American Athletic,Duke,ACC,400756894,4007568943,false,1,39,61,11,50,1,40,60,10,21,1,29,4,1,PUNT
Duke,ACC,Tulane,American Athletic,400756894,4007568944,true,1,71,71,10,21,1,14,14,5,41,4,40,11,57,FG
