"","Team","Team.Conference","Gender","Goals.For","Goals.Against","Total.Wins","Total.Losses","Total.Ties","Total.Games","Total.Shut.Out","Total.Shut.Outs","Plus.Minus","Pct.Won","Plus.Minus.Rank","Opp.Wins","Opp.Losses","Opp.Ties","Opp.Goals.For","Opp.Goals.Against","Opp.Pct.Won","Conference.Pct.Won","Rank.Pct.Won","United.Soccer.Coaches.Ranking"
"379","Saint Peter's","Metro Athletic Conference","W",9,36,3,13,1,17,11,2,-27,0.176470588235294,66,5,43,5,28,140,0.0943396226415094,0.416666666666667,24,0
"380","Saint Peter's","Metro Atlantic Athletic Conference","M",43,30,13,6,0,19,1,2,13,0.684210526315789,23,56,119,14,226,352,0.296296296296296,0.404040404040404,16,0
"381","Sam Houston State","Southland","W",25,35,7,11,1,19,7,4,-10,0.368421052631579,51,44,83,3,159,276,0.338461538461538,0.423076923076923,21,0
"382","Samford","Southern","W",46,22,13,4,5,22,4,10,24,0.590909090909091,17,101,114,17,337,361,0.435344827586207,0.461928934010152,13,0
"383","San Diego","West Coast","M",39,23,12,5,1,18,1,7,16,0.666666666666667,20,84,111,25,272,321,0.381818181818182,0.485714285714286,6,0
"384","San Diego","West Coast","W",22,26,8,8,1,17,6,7,-4,0.470588235294118,45,46,80,22,155,257,0.310810810810811,0.489795918367347,8,0
"385","San Diego State","Mountain West","W",30,36,10,9,1,20,6,5,-6,0.5,47,71,84,15,200,230,0.417647058823529,0.478632478632479,10,0
"386","San Diego State","Pacific 12","M",19,37,4,12,2,18,6,2,-18,0.222222222222222,54,23,40,10,97,112,0.315068493150685,0.504424778761062,4,0
"387","San Francisco","West Coast","M",9,38,2,14,1,17,10,2,-29,0.117647058823529,62,11,24,3,55,76,0.289473684210526,0.485714285714286,6,0
"388","San Francisco","West Coast","W",38,40,9,8,2,19,3,5,-2,0.473684210526316,43,64,86,15,191,268,0.387878787878788,0.489795918367347,8,0
"389","San Jose State","Mountain West","W",15,23,7,9,4,20,6,5,-8,0.35,49,46,59,10,157,167,0.4,0.478632478632479,10,0
"390","San Jose State","Western Athletic","M",28,39,5,12,2,19,4,3,-11,0.263157894736842,47,31,39,4,97,119,0.418918918918919,0.401785714285714,17,0
"391","Santa Clara","West Coast","M",24,17,8,7,2,17,5,5,7,0.470588235294118,29,37,95,11,162,286,0.258741258741259,0.485714285714286,6,0
"392","Santa Clara","West Coast","W",59,25,15,6,2,23,1,10,34,0.652173913043478,10,140,124,33,471,436,0.471380471380471,0.489795918367347,8,14
"393","Seattle","Western Athletic","M",43,20,15,3,5,23,2,8,23,0.652173913043478,13,86,129,17,289,374,0.370689655172414,0.401785714285714,17,19
"394","Seattle","Western Athletic","W",38,32,12,8,2,22,4,6,6,0.545454545454545,35,61,116,17,225,358,0.314432989690722,0.418994413407821,23,0
"395","Seton Hall","Big East","M",22,21,6,9,1,16,6,2,1,0.375,35,39,53,14,144,181,0.367924528301887,0.547368421052632,2,0
"396","Seton Hall","Big East","W",9,37,2,13,1,16,9,1,-28,0.125,67,15,15,8,42,41,0.394736842105263,0.453125,14,0
"397","Siena College","Metro Athletic Conference","W",16,31,4,11,4,19,7,1,-15,0.210526315789474,55,21,40,6,63,123,0.313432835820896,0.416666666666667,24,0
"398","Siena College","Metro Atlantic Athletic Conference","M",25,34,5,12,1,18,5,1,-9,0.277777777777778,45,30,49,6,110,159,0.352941176470588,0.404040404040404,16,0
