ID,Name,Event,Round,Place,Time,Flag,Pts,Event Name,Date,Course,Gender,Season
35,Lauren Drennan,200 Y Fly,Timed Finals,7th,02:07.9,,635,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
36,Genevieve Groya,50 Y Free,Timed Finals,7th,24.76,,634,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
37,Audrey Kumm,100 Y Fly,Timed Finals,4th,58.23,,633,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
38,Emily Christiansen,200 Y Free,Timed Finals,8th,01:55.4,,633,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
39,Elaine Boosalis,200 Y Fly,Timed Finals,8th,02:08.2,,630,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
40,Emily Christiansen,100 Y Free,Timed Finals,–,54.05,R,628,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
41,Haley Gordon,200 Y Breast,Timed Finals,4th,02:25.0,,626,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
42,Danielle Klunk,100 Y Free,Timed Finals,8th,54.19,,623,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
43,Maddie Bro,50 Y Back,Timed Finals,–,27.34,R,618,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
44,Pamela Breitrick,200 Y Back,Timed Finals,4th,02:06.7,,617,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
45,Lindsay Seemann,200 Y Back,Timed Finals,5th,02:07.0,,612,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
46,Genevieve Groya,50 Y Back,Timed Finals,–,27.46,R,610,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
47,Taylor Newgaard,500 Y Free,Timed Finals,5th,05:14.3,,610,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
48,Maddie Bro,100 Y Back,Timed Finals,5th,59.05,,606,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
49,April Allen,200 Y Breast,Timed Finals,5th,02:26.8,,603,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
50,April Allen,100 Y Breast,Timed Finals,7th,01:07.8,,602,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
51,Audrey Kumm,100 Y Back,Timed Finals,6th,59.21,,601,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
52,Maddie Bro,200 Y Back,Timed Finals,7th,02:08.8,,587,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
53,Danielle Klunk,100 Y Fly,Timed Finals,5th,01:00.5,,565,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
54,Lauren Kelba,1M Diving,Timed Finals,2nd,260.85,,–,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
55,Abigail Grilli,1M Diving,Timed Finals,3rd,247.95,,–,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
56,Joelle Christy,1M Diving,Timed Finals,4th,211.65,,–,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
57,Lauren Kelba,3M Diving,Timed Finals,7th,231.22,,–,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
58,Abigail Grilli,3M Diving,Timed Finals,4th,254.25,,–,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
59,Joelle Christy,3M Diving,Timed Finals,3rd,263.85,,–,Minnesota vs. Iowa,2-Nov-12,SCY,W,2012-2013
1,Iowa (A),800 Y Free Relay,Timed Finals,–,06:32.8,,835,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
2,Iowa (A),400 Y Medley Relay,Timed Finals,–,03:12.7,,834,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
3,David Belzer,500 Y Free,Finals,10th,04:24.7,,828,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
4,grant betulius,100 Y Back,Finals,2nd,46.97,,826,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
5,Iowa (A),400 Y Free Relay,Timed Finals,–,02:57.1,,823,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
6,Jordan Huff,200 Y Free,Prelims,3rd,01:37.3,,823,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
7,Iowa (A),200 Y Medley Relay,Timed Finals,–,01:27.8,,822,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
8,Jordan Huff,200 Y Free,Finals,5th,01:37.6,,817,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
9,Roman Trussov,100 Y Breast,Finals,3rd,53.6,,814,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
10,David Ernstsson,200 Y Free,Prelims,6th,01:37.7,,814,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
11,grant betulius,100 Y Back,Prelims,1st,47.19,,814,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
12,grant betulius,100 Y Back,Timed Finals,–,47.22,R,813,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
13,Byron Butler,200 Y Back,Finals,2nd,01:44.0,,807,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
14,Roman Trussov,200 Y Breast,Timed Finals,1st,01:56.8,,806,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
15,Byron Butler,100 Y Fly,Finals,3rd,47.48,,806,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
16,Jordan Huff,200 Y Free,Timed Finals,–,01:38.0,R,805,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
17,David Ernstsson,200 Y Free,Finals,7th,01:38.2,,801,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
18,Iowa (B),200 Y Medley Relay,Timed Finals,–,01:28.6,,800,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
19,Byron Butler,100 Y Fly,Prelims,4th,47.64,,798,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
20,Byron Butler,100 Y Back,Finals,3rd,47.62,,793,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
21,David Belzer,500 Y Free,Prelims,10th,04:29.1,,788,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
22,Iowa (B),400 Y Medley Relay,Timed Finals,–,03:16.5,,786,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
23,Roman Trussov,100 Y Breast,Prelims,2nd,54.27,,784,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
24,David Belzer,1650 Y Free,Timed Finals,5th,15:36.6,,784,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
25,Tyler Lentz,200 Y IM,Prelims,5th,01:48.8,,779,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
26,Byron Butler,200 Y Back,Prelims,2nd,01:45.2,,779,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
27,Iowa (A),200 Y Free Relay,Timed Finals,–,01:20.5,,778,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
28,Byron Butler,100 Y Back,Prelims,3rd,47.93,,777,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
29,Tyler Lentz,200 Y IM,Finals,7th,01:48.9,,775,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
30,Iowa (B),800 Y Free Relay,Timed Finals,–,06:43.3,,771,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
31,grant betulius,200 Y Back,Prelims,4th,01:45.6,,770,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
32,Jordan Huff,100 Y Free,Prelims,6th,44.53,,767,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
33,Tyler Lentz,400 Y IM,Prelims,4th,03:54.4,,767,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
34,Iowa (C),400 Y Medley Relay,Timed Finals,–,03:18.3,,766,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
35,Roman Trussov,200 Y Breast,Finals,3rd,01:58.8,,766,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
36,Patrick Weigand,500 Y Free,Prelims,16th,04:31.7,,765,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
37,Iowa (B),400 Y Free Relay,Timed Finals,–,03:01.6,,764,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
38,Tyler Lentz,200 Y Fly,Finals,6th,01:48.7,,762,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
39,grant betulius,100 Y Fly,Prelims,7th,48.41,,760,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
40,Andrew Marciniak,200 Y Breast,Finals,5th,01:59.2,,758,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
41,Andrew Marciniak,100 Y Breast,Finals,6th,54.88,,758,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
42,Max Behles,200 Y Free,Finals,18th,01:40.1,,757,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
43,Patrick Weigand,500 Y Free,Finals,15th,04:32.7,,757,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
44,Roman Trussov,200 Y Breast,Prelims,3rd,01:59.4,,753,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
45,Patrick Weigand,200 Y Free,Prelims,17th,01:40.2,,753,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
46,Max Behles,200 Y Free,Prelims,18th,01:40.3,,752,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
47,Iowa (B),200 Y Free Relay,Timed Finals,–,01:21.5,,750,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
48,Andrew Marciniak,100 Y Breast,Prelims,7th,55.08,,750,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
49,Dustin Rhoads,200 Y Back,Prelims,7th,01:46.5,,750,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
50,Dustin Rhoads,100 Y Back,Finals,6th,48.56,,747,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
51,Dustin Rhoads,100 Y Back,Timed Finals,–,48.59,R,746,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
52,David Ernstsson,100 Y Free,Finals,9th,44.96,,745,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
53,David Ernstsson,100 Y Free,Prelims,9th,44.96,,745,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
54,grant betulius,100 Y Fly,Finals,7th,48.75,,744,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
55,Tyler Lentz,200 Y Fly,Prelims,8th,01:49.6,,744,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
56,Dustin Rhoads,100 Y Back,Prelims,6th,48.63,,744,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
57,Andrew Ahlberg,500 Y Free,Prelims,27th,04:34.4,,743,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
58,David Ernstsson,100 Y Free,Timed Finals,–,45.02,R,742,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
59,Jordan Huff,100 Y Free,Finals,7th,45.04,,741,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
60,Brian Donatelli,100 Y Free,Finals,11th,45.06,,740,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
61,David Belzer,200 Y Free,Timed Finals,–,01:40.9,R,739,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
62,Andrew Parker,200 Y Back,Finals,6th,01:47.1,,739,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
63,Luke Snow,200 Y Free,Prelims,21st,01:41.0,,736,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
64,Andrew Parker,200 Y Back,Prelims,8th,01:47.2,,736,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
65,Patrick Weigand,1650 Y Free,Timed Finals,16th,15:57.0,,735,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
66,Gianni Sesto,100 Y Free,Prelims,10th,45.18,,734,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
67,Brian Donatelli,100 Y Free,Prelims,11th,45.21,,733,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
68,Andrew Marciniak,200 Y Breast,Prelims,7th,02:00.6,,732,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
69,Max Behles,500 Y Free,Prelims,32nd,04:35.8,,732,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
70,Kyle Noser,200 Y IM,Prelims,13th,01:51.0,,732,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
71,Gianni Sesto,200 Y Free,Prelims,23rd,01:41.2,,731,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
72,Jack Allen,200 Y Free,Prelims,22nd,01:41.2,,731,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
73,David Belzer,400 Y IM,Finals,12th,03:58.1,,731,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
74,michael ubert,500 Y Free,Prelims,33rd,04:36.0,,730,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
75,Gianni Sesto,100 Y Free,Finals,12th,45.28,,729,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
76,Jordan Huff,50 Y Free,Prelims,7th,20.52,,729,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
77,michael ubert,1650 Y Free,Timed Finals,17th,15:59.6,,729,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
78,grant betulius,50 Y Back,Timed Finals,–,22.01,R,728,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
79,Quillan Oak,200 Y Breast,Prelims,8th,02:00.8,,727,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
80,Gianni Sesto,200 Y Free,Finals,20th,01:41.4,,727,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
81,grant betulius,200 Y Back,Finals,7th,01:47.7,,727,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
82,Andrew Parker,500 Y Free,Prelims,36th,04:36.5,,726,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
83,Dustin Rhoads,200 Y Back,Finals,8th,01:47.7,,726,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
84,Iowa (C),200 Y Medley Relay,Timed Finals,–,01:31.6,,725,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
85,Jack Allen,100 Y Free,Prelims,15th,45.4,,724,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
86,Korey Schneider,100 Y Breast,Prelims,12th,55.76,,723,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
87,Tyler Lentz,400 Y IM,Finals,7th,03:59.0,,723,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
88,Brian Donatelli,50 Y Free,Timed Finals,–,20.59,R,722,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
89,Korey Schneider,100 Y Breast,Finals,12th,55.78,,722,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
90,Quillan Oak,100 Y Breast,Prelims,13th,55.78,,722,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
91,Brian Donatelli,50 Y Free,Prelims,9th,20.59,,722,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
92,Chris Freeman,500 Y Free,Prelims,37th,04:37.2,,721,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
93,Donald Warren,200 Y Back,Finals,11th,01:48.0,,720,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
94,Donald Warren,200 Y Back,Prelims,9th,01:48.0,,720,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
95,Brian Donatelli,50 Y Free,Finals,9th,20.63,,718,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
96,grant betulius,50 Y Free,Prelims,10th,20.63,,718,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
97,Mitchell Taylor,100 Y Fly,Prelims,12th,49.36,,717,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
98,Andrew Ahlberg,1650 Y Free,Timed Finals,21st,16:05.3,,716,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
99,Jordan Huff,50 Y Free,Finals,8th,20.66,,715,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
100,Gianni Sesto,50 Y Free,Prelims,12th,20.66,,715,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
101,Andrew Ahlberg,400 Y IM,Finals,17th,03:59.8,,715,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
102,Iowa (C),400 Y Free Relay,Timed Finals,–,03:05.8,,714,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
103,Chris Freeman,200 Y Free,Prelims,31st,01:42.1,,713,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
104,Kyle Noser,400 Y IM,Prelims,13th,04:00.1,,713,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
105,Quillan Oak,200 Y IM,Finals,17th,01:52.1,,711,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
106,Jack Allen,100 Y Free,Finals,15th,45.69,,710,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
107,Jack Allen,50 Y Free,Prelims,13th,20.7,,710,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
108,Iowa (D),400 Y Medley Relay,Timed Finals,–,03:23.4,,709,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
109,Byron Butler,200 Y IM,Prelims,18th,01:52.2,,709,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
110,David Belzer,400 Y IM,Prelims,16th,04:00.8,,707,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
111,Quillan Oak,100 Y Breast,Finals,15th,56.22,,705,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
112,Matthew Boyd,200 Y IM,Finals,21st,01:52.5,,705,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
113,Andrew Ahlberg,400 Y IM,Prelims,17th,04:01.1,,704,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
114,Michael Nelson,100 Y Breast,Prelims,17th,56.29,,703,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
115,grant betulius,50 Y Free,Finals,10th,20.78,,702,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
116,Iowa (C),800 Y Free Relay,Timed Finals,–,06:56.3,,701,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
117,David Ernstsson,50 Y Free,Finals,17th,20.79,,701,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
118,Michael Nelson,100 Y Breast,Finals,17th,56.36,,700,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
119,Quillan Oak,200 Y IM,Prelims,21st,01:52.7,,700,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
120,David Belzer,200 Y Fly,Prelims,15th,01:51.9,,699,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
121,David Ernstsson,50 Y Free,Prelims,17th,20.82,,698,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
122,Luke Snow,200 Y Free,Finals,22nd,01:42.9,,697,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
123,Jack Allen,100 Y Fly,Prelims,18th,49.84,,697,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
124,Quillan Oak,200 Y Breast,Finals,8th,02:02.6,,696,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
125,Roman Trussov,200 Y IM,Prelims,22nd,01:53.0,,695,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
126,Luke Snow,100 Y Free,Prelims,19th,46.04,,694,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
127,Mitchell Taylor,100 Y Fly,Finals,14th,49.9,,694,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
128,Chris Freeman,200 Y Back,Prelims,13th,01:49.4,,694,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
129,Brian Donatelli,200 Y Free,Prelims,35th,01:43.2,,690,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
130,Jack Allen,100 Y Free,Timed Finals,–,46.16,R,689,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
131,Kyle Noser,200 Y IM,Finals,14th,01:53.3,,689,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
132,Gianni Sesto,50 Y Free,Finals,12th,20.92,,688,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
133,Jack Allen,100 Y Fly,Finals,17th,50.04,,688,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
134,Kyle Noser,400 Y IM,Finals,15th,04:03.0,,688,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
135,Matthew Boyd,200 Y IM,Prelims,25th,01:53.3,,688,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
136,Austin Abbas,200 Y Back,Prelims,15th,01:49.7,,688,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
137,Iowa (C),200 Y Free Relay,Timed Finals,–,01:24.0,,687,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
138,David Belzer,200 Y Fly,Finals,14th,01:52.6,,686,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
139,Mitchell Taylor,100 Y Free,Prelims,22nd,46.23,,685,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
140,Tyler Nichols,200 Y IM,Prelims,27th,01:53.5,,685,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
141,Jack Allen,50 Y Free,Finals,14th,20.97,,683,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
142,Andrew Parker,100 Y Back,Prelims,11th,50.03,,683,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
143,Iowa (D),200 Y Medley Relay,Timed Finals,–,01:33.5,,682,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
144,Mitchell Taylor,50 Y Free,Prelims,20th,20.98,,682,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
145,Mitchell Taylor,100 Y Free,Finals,21st,46.32,,681,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
146,Luke Snow,200 Y IM,Prelims,30th,01:53.7,,681,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
147,Andrew Parker,100 Y Back,Finals,11th,50.09,,681,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
148,Max Behles,100 Y Free,Prelims,25th,46.35,,680,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
149,Luke Snow,100 Y Free,Finals,22nd,46.37,,679,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
150,Dustin Rhoads,50 Y Back,Timed Finals,–,22.54,R,678,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
151,Dustin Rhoads,50 Y Free,Prelims,24th,21.02,,678,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
152,Mitchell Taylor,100 Y Free,Timed Finals,–,46.42,R,677,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
153,Michael Vinyard,200 Y Fly,Prelims,17th,01:53.1,,677,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
154,Chris Freeman,200 Y Back,Finals,14th,01:50.3,,677,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
155,Matthew Boyd,200 Y Back,Prelims,17th,01:50.3,,677,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
156,Jack Allen,50 Y Free,Timed Finals,–,21.05,R,676,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
157,Andrew Parker,100 Y Back,Timed Finals,–,50.23,R,675,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
158,Mitchell Taylor,50 Y Free,Finals,21st,21.06,,675,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
159,Andrew Ahlberg,200 Y Free,Timed Finals,–,01:44.0,R,674,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
160,Donald Warren,200 Y IM,Prelims,32nd,01:54.1,,674,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
161,Michael Vinyard,400 Y IM,Finals,21st,04:04.8,,673,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
162,Iowa (D),400 Y Free Relay,Timed Finals,–,03:09.5,,672,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
163,Dustin Rhoads,100 Y Fly,Prelims,22nd,50.47,,671,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
164,Andrew Marciniak,200 Y IM,Prelims,33rd,01:54.3,,671,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
165,Donald Warren,100 Y Back,Finals,13th,50.34,,671,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
166,Tyler Nichols,100 Y Breast,Prelims,18th,57.2,,670,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
167,Seth Lane,50 Y Free,Prelims,26th,21.11,,670,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
168,Michael Vinyard,400 Y IM,Prelims,20th,04:05.3,,669,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
169,Luke Snow,50 Y Free,Prelims,27th,21.13,,668,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
170,Matthew Boyd,200 Y Back,Finals,20th,01:50.8,,667,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
171,Kyle Noser,100 Y Breast,Prelims,19th,57.29,,666,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
172,Michael Vinyard,200 Y Fly,Finals,18th,01:53.7,,666,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
173,Matthew Boyd,400 Y IM,Finals,23rd,04:05.7,,666,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
174,Austin Abbas,200 Y Back,Finals,16th,01:51.0,,664,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
175,Tyler Nichols,200 Y Breast,Prelims,16th,02:04.6,,663,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
176,Iowa (D),200 Y Free Relay,Timed Finals,–,01:25.0,,661,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
177,Tyler Nichols,200 Y Breast,Finals,16th,02:04.8,,661,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
178,Charles Holliday,50 Y Free,Prelims,29th,21.2,,661,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
179,Seth Lane,50 Y Free,Timed Finals,–,21.22,R,659,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
180,Matthew Boyd,100 Y Back,Prelims,14th,50.65,,659,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
181,Matthew Boyd,400 Y IM,Prelims,25th,04:06.6,,658,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
182,Tyler Nichols,100 Y Breast,Finals,19th,57.56,,657,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
183,Devon Meeks,50 Y Free,Prelims,30th,21.26,,656,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
184,Donald Warren,400 Y IM,Prelims,26th,04:07.0,,655,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
185,Andrew Ahlberg,200 Y Fly,Finals,20th,01:54.4,,654,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
186,Dustin Rhoads,50 Y Free,Finals,23rd,21.29,,653,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
187,Patrick Weigand,100 Y Free,Prelims,31st,47.04,,651,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
188,Korey Schneider,50 Y Free,Prelims,32nd,21.32,,650,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
189,michael ubert,200 Y Free,Prelims,41st,01:45.4,,649,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
190,Maverick Hovey,100 Y Fly,Prelims,24th,51.02,,649,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
191,Maverick Hovey,200 Y Fly,Prelims,22nd,01:54.7,,648,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
192,Michael Nelson,200 Y IM,Prelims,40th,01:55.6,,648,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
193,Austin Abbas,200 Y IM,Prelims,41st,01:55.7,,647,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
194,Andrew Ahlberg,200 Y Fly,Prelims,23rd,01:54.9,,646,Iowa Invitational,30-Nov-12,SCY,M,2012-2013
