id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index
401112167,2019,13,regular,2019-11-23T20:30:00.000Z,,false,true,43671,3830,Memorial Stadium,84,Indiana,Big Ten,14,7,7,0,0,0.004330785558483452,130,Michigan,Big Ten,39,7,14,18,0,0.9956692144415166,3.1968380374
401112263,2019,13,regular,2019-11-23T21:00:00.000Z,,false,true,70747,347,Camp Randall Stadium,275,Wisconsin,Big Ten,45,14,10,14,7,0.9974403618980003,2509,Purdue,Big Ten,24,3,14,7,0,0.0025596381019996617,1.4090729108
401112200,2019,14,regular,2019-11-29T19:30:00.000Z,,false,true,89039,3834,Memorial Stadium,158,Nebraska,Big Ten,24,3,7,14,0,0.8609846706767702,2294,Iowa,Big Ten,27,14,10,0,3,0.1390153293232298,7.6896141923
401112168,2019,14,regular,2019-11-30T17:00:00.000Z,,false,true,55338,3907,Ross-Ade Stadium,2509,Purdue,Big Ten,41,0,10,7,14,0.2429281175362354,84,Indiana,Big Ten,44,7,14,7,3,0.7570718824637646,6.8264793936
401112156,2019,14,regular,2019-11-30T17:00:00.000Z,,false,true,35895,3832,Memorial Stadium,356,Illinois,Big Ten,10,0,7,3,0,0.0013833696512843133,77,Northwestern,Big Ten,29,3,7,7,12,0.9986166303487157,4.20859588719999
401112228,2019,14,regular,2019-11-30T17:00:00.000Z,,false,true,112071,3558,Michigan Stadium,130,Michigan,Big Ten,27,13,3,3,8,0.0007459021296551682,194,Ohio State,Big Ten,56,14,14,14,14,0.9992540978703448,2.6940397338
401112237,2019,14,regular,2019-11-30T20:30:00.000Z,,false,true,53756,3953,TCF Bank Stadium,135,Minnesota,Big Ten,17,7,0,3,7,0.0064616102872084,275,Wisconsin,Big Ten,38,0,10,14,14,0.9935383897127916,3.39452389259999
401112221,2019,14,regular,2019-11-30T20:30:00.000Z,,false,true,51366,3936,Spartan Stadium,127,Michigan State,Big Ten,19,3,10,0,6,0.9189200580097843,120,Maryland,Big Ten,16,7,0,9,0,0.08107994199021573,5.27291221909999
401112261,2019,14,regular,2019-11-30T20:30:00.000Z,,false,true,98895,3632,Beaver Stadium,213,Penn State,Big Ten,27,7,0,6,14,0.7993303345404015,164,Rutgers,Big Ten,6,3,0,0,3,0.20066966545959852,0.4983126307
401132983,2019,15,regular,2019-12-08T01:00:00.000Z,,true,true,66649,3812,Lucas Oil Stadium,275,Wisconsin,Big Ten,21,7,14,0,0,0.23838595921810046,194,Ohio State,Big Ten,34,0,7,17,10,0.7616140407818995,6.05859226229999
